# List of millisecond pulsars with intrinsic spin-down rates (P0<30 ms, P1<1e-20)
# 10 from globular clusters, remaining are Galactic-field pulsars
# For 36, the intrinsic Pdot (NewP1) are from the literature 
# 109 from estimation, assuming 87+/-13 km/s, if no proper motion measurement
# using the DM distance inferred from the YMW16 model (asumming 30% error in distance), if no measurement of distance

PSR          P0          P1              NewP1           ErrP1
B1820-30A    0.005440    3.38e-18        3.4e-18         0.3e-18    
B1821-24A    0.003054    1.62e-18        1.6e-18         0.1e-18     

J1910-5959D  0.009035    9.64e-19        9.6e-19         1.8e-19 
J1701-3006E  0.003234    3.10e-19        3.1e-19         1.9e-19 
J1740-5340A  0.003650    1.68e-19        1.7e-19         0.3e-19 
J1701-3006F  0.002295    2.22e-19        2.2e-19         1.5e-19 

J0024-7204T  0.007588    2.94e-19        9.9e-20         8.9e-20  
B0021-72E    0.003536    9.85e-20        11.9e-21        3.7e-21     
J0024-7204U  0.004343    9.52e-20        1.82e-20       0.55e-20   
B1516+02A    0.005554    4.12e-20        4.1e-20         1.8e-20     

J1841+0130 	 0.02977 	 8.17000e-18 	 8.16499e-18 	 5.00831e-20
J1952+2630 	 0.02073 	 4.27210e-18 	 4.26950e-18 	 5.19480e-21
J1757-1854 	 0.02150 	 2.63030e-18 	 2.65681e-18 	 1.82044e-20
J0737-3039A  0.02270 	 1.75993e-18 	 1.75996e-18 	 2.19387e-22
J1756-2251 	 0.02846 	 1.01750e-18 	 1.01521e-18 	 8.90633e-23
J2007+2722 	 0.02450 	 9.61100e-19 	 9.73772e-19 	 7.47774e-21
J1946+2052 	 0.01696 	 9.20000e-19 	 9.20892e-19 	 1.80150e-19
J1623-2631 	 0.01107 	 6.70930e-19 	 6.30273e-19 	 7.18673e-21
J1804-0735 	 0.02310 	 4.67100e-19 	 4.82194e-19 	 5.76122e-19
J1502-6752 	 0.02674 	 3.14500e-19 	 2.20242e-19 	 1.36614e-19
J1727-2951 	 0.02840 	 3.10000e-19 	 2.67803e-19 	 6.55253e-20
J0214+5222 	 0.02457 	 2.99000e-19 	 2.81471e-19 	 1.32205e-20
J1727-2946 	 0.02708 	 2.46320e-19 	 2.40403e-19 	 6.88465e-22
J2053+4650 	 0.01259 	 1.72280e-19 	 1.71776e-19 	 1.44305e-21
J1850+0242 	 0.00448 	 1.63000e-19 	 1.68323e-19 	 5.05276e-21
J1913+1102 	 0.02729 	 1.61000e-19 	 1.78331e-19 	 4.10387e-20
J0824+0028 	 0.00986 	 1.46890e-19 	 1.43000e-19 	 9.00000e-22
J1439-5501 	 0.02863 	 1.41800e-19 	 1.05896e-19 	 1.79152e-20
J1525-5545 	 0.01136 	 1.31400e-19 	 1.28522e-19 	 1.59553e-21
J1300+1240 	 0.00622 	 1.14334e-19 	 3.40000e-20 	 3.00000e-20
J1939+2134 	 0.00156 	 1.05103e-19 	 1.05500e-19 	 2.00000e-22
J1949+3106 	 0.01314 	 9.39235e-20 	 9.41461e-20 	 3.44053e-21
J1745-0952 	 0.01938 	 9.24600e-20 	 8.60746e-20 	 1.03866e-21
J0407+1607 	 0.02570 	 7.90000e-20 	 6.14988e-20 	 8.39083e-21
J0218+4232 	 0.00232 	 7.73955e-20 	 7.70000e-20 	 1.00000e-21
J2115+5448 	 0.00260 	 7.49000e-20 	 7.36000e-20 	 5.00000e-22
J1802-2124 	 0.01265 	 7.25600e-20 	 7.10950e-20 	 1.00112e-22
J1038+0032 	 0.02885 	 6.70000e-20 	 6.79335e-20 	 7.37430e-21
J1056-7117 	 0.02631 	 6.30000e-20 	 5.37505e-20 	 9.55059e-21
J1125-5825 	 0.00310 	 6.08990e-20 	 5.94000e-20 	 3.00000e-22
J1622-6617 	 0.02362 	 5.88000e-20 	 5.16442e-20 	 5.06949e-21
J0437-4715 	 0.00576 	 5.72922e-20 	 1.40000e-20 	 2.00000e-23
J1618-3921 	 0.01199 	 5.40800e-20 	 4.84824e-20 	 1.34431e-21
J1545-4550 	 0.00358 	 5.24544e-20 	 5.19859e-20 	 2.29619e-23
J1725-3853 	 0.00479 	 5.00000e-20 	 4.68520e-20 	 3.00090e-20
J1933+1726 	 0.02151 	 4.90000e-20 	 5.16617e-20 	 1.23907e-20
J0900-3144 	 0.01111 	 4.88800e-20 	 4.94840e-20 	 7.41891e-23
J0621+1002 	 0.02885 	 4.73000e-20 	 4.61886e-20 	 7.24640e-23
J1035-6720 	 0.00287 	 4.64630e-20 	 4.60000e-21 	 1.00000e-22
J1901+0300 	 0.00780 	 4.57100e-20 	 4.67380e-20 	 3.11462e-21
J1555-2908 	 0.00179 	 4.45502e-20 	 4.55534e-20 	 1.25377e-19
J0721-2038 	 0.01554 	 4.40000e-20 	 3.96281e-20 	 4.64902e-21
J1022+1001 	 0.01645 	 4.33391e-20 	 3.72377e-20 	 1.30835e-21
J1816+4510 	 0.00319 	 4.31000e-20 	 4.18000e-20 	 1.00000e-21
J1804-2717 	 0.00934 	 4.08500e-20 	 3.49000e-20 	 1.00000e-21
J1921+1929 	 0.00265 	 3.81960e-20 	 3.65000e-20 	 4.00000e-22
J1806+2819 	 0.01508 	 3.75000e-20 	 2.92999e-20 	 4.66163e-21
J1901-0125 	 0.00279 	 3.57600e-20 	 3.46248e-20 	 4.82982e-22
J2215+5135 	 0.00261 	 3.34000e-20 	 3.31020e-20 	 8.01912e-22
J1755-3716 	 0.01279 	 3.10000e-20 	 3.78645e-20 	 1.02805e-18
J1914+0659 	 0.01851 	 3.10000e-20 	 4.68989e-20 	 1.88920e-20
J1741+1351 	 0.00375 	 3.02165e-20 	 2.82134e-20 	 3.29095e-22
J1048+2339 	 0.00466 	 3.00800e-20 	 2.05477e-20 	 1.75622e-21
J2145-0750 	 0.01605 	 2.97926e-20 	 2.55977e-20 	 7.69999e-22
J1955+2908 	 0.00613 	 2.97397e-20 	 3.16793e-20 	 2.31570e-21
#J1405-4656 	 0.00760 	 2.79000e-20 	-9.14847e-22 	 5.21315e-21
J1957+2516 	 0.00396 	 2.74400e-20 	 2.70774e-20 	 9.80998e-22
J1529-3828 	 0.00849 	 2.70000e-20 	 2.48585e-20 	 1.53359e-21
J1757-5322 	 0.00887 	 2.63000e-20 	 1.81023e-20 	 3.85510e-21
J1918-0642 	 0.00764 	 2.56914e-20 	 2.35639e-20 	 2.86517e-22
J1731-1847 	 0.00234 	 2.54070e-20 	 2.40000e-20 	 7.00000e-22
J0621+2514 	 0.00272 	 2.48300e-20 	 2.41000e-20 	 2.00000e-22
J1337-6423 	 0.00942 	 2.46900e-20 	 1.00000e-20 	 1.30000e-20
J1435-6100 	 0.00935 	 2.45000e-20 	 2.26602e-20 	 1.45766e-21
J1455-3330 	 0.00799 	 2.43045e-20 	 2.32929e-20 	 1.41019e-22
J1738+0333 	 0.00585 	 2.41199e-20 	 2.24300e-20 	 1.30000e-22
J1231-1411 	 0.00368 	 2.28000e-20 	 8.31911e-21 	 2.34096e-21
J1805+0615 	 0.00213 	 2.27580e-20 	 1.80392e-20 	 8.96299e-22
J1513-2550 	 0.00212 	 2.16100e-20 	 2.11000e-19 	 1.00000e-21
J1625-0021 	 0.00283 	 2.13250e-20 	 1.88089e-20 	 1.21705e-21
J1536-4948 	 0.00308 	 2.11895e-20 	 2.06345e-20 	 7.14224e-23
J1311-3430 	 0.00256 	 2.09640e-20 	 2.05233e-20 	 4.62595e-22
J2129-5721 	 0.00373 	 2.08536e-20 	 1.60000e-20 	 3.00000e-21
J2124-3358 	 0.00493 	 2.05695e-20 	 9.90000e-21 	 3.00000e-22
J2055+15 	 0.00216 	 2.01900e-20 	 2.04134e-20 	 8.02867e-20
J1730-2304 	 0.00812 	 2.01840e-20 	 2.00000e-20 	 2.00000e-21
